,plant,df_fraction,best_threshold,roc_auc,pr_auc,f1,average_precision,norm_fraction,total_scored,total_plant
malus domestica,malus domestica,410,154.24426,0.6257427843803056,0.5463414634146342,0.16964285714285712,0.09268292682926829,0.19,2190,3445
malus domestica,malus domestica,460,117.42,0.5955049913557525,0.5467391304347826,0.1709741550695825,0.09347826086956522,0.21,2190,3445
malus domestica,malus domestica,510,117.42,0.6239758095981272,0.5431372549019607,0.1588447653429603,0.08627450980392157,0.23,2190,3445
malus domestica,malus domestica,560,117.42,0.6068929036458334,0.5428571428571428,0.15789473684210528,0.08571428571428572,0.26,2190,3445
malus domestica,malus domestica,610,100.89109407,0.5930865729252826,0.5426229508196722,0.15709969788519637,0.08524590163934426,0.28,2190,3445
malus domestica,malus domestica,660,100.89109407,0.5815988647114475,0.5424242424242425,0.1564245810055866,0.08484848484848485,0.3,2190,3445
malus domestica,malus domestica,710,100.89109407,0.5615701331177853,0.5429577464788733,0.15823605706874186,0.08591549295774648,0.32,2190,3445
malus domestica,malus domestica,760,100.89109407,0.5739564118330259,0.5414473684210527,0.1530984204131227,0.08289473684210526,0.35,2190,3445
malus domestica,malus domestica,810,100.89109407,0.5662200437918081,0.5413580246913581,0.15279361459521093,0.08271604938271605,0.37,2190,3445
malus domestica,malus domestica,860,38.631188310000006,0.5935706084959815,0.538953488372093,0.14455231930960089,0.07790697674418605,0.39,2190,3445
malus domestica,malus domestica,910,28.94000732,0.5992865636147443,0.5379120879120879,0.14096016343207354,0.07582417582417582,0.42,2190,3445
malus domestica,malus domestica,960,28.94000732,0.6129935794542536,0.5364583333333334,0.13592233009708737,0.07291666666666667,0.44,2190,3445
malus domestica,malus domestica,1010,28.94000732,0.6075569070627622,0.5361386138613862,0.1348107109879963,0.07227722772277227,0.46,2190,3445
malus domestica,malus domestica,1060,28.94000732,0.5792655389101795,0.5372641509433962,0.13871817383669885,0.07452830188679245,0.48,2190,3445
malus domestica,malus domestica,1110,28.94000732,0.5846440869116607,0.5254022368139283,0.13703382480485687,0.073676225977221,0.51,2190,3445
